DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,14q21.1,14,39086981,NR,SEC23A,,,ENSG00000100934,,,rs8018720-C,rs8018720,0,8018720,missense_variant,0,0.820235,4.00E-36,35.39794001,,0.031949,[0.027-0.037] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,15q21.3,15,58387979,NR,ALDH1A2,,,ENSG00000128918,,,rs261291-C,rs261291,0,261291,intergenic_variant,0,0.35583,3.00E-28,27.52287875,,0.022414,[0.018-0.026] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,15q21.3,15,58431476,NR,"ALDH1A2, LIPC",,,"ENSG00000128918, ENSG00000166035",,,rs1800588-T,rs1800588,0,1800588,intergenic_variant,0,0.21461,3.00E-36,35.52287875,,0.029769,[0.025-0.034] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,15q22.31,15,63497753,NR,LINC02568 - USP3,ENSG00000259459,ENSG00000140455,,59433,6758,rs17765311-C,rs17765311,0,17765311,regulatory_region_variant,1,0.344611,1.00E-13,13,,0.01515,[0.011-0.019] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,15q24.3,15,77419377,NR,PEAK1,,,ENSG00000173517,,,rs62007299-A,rs62007299,0,62007299,intron_variant,0,0.709377,2.00E-11,10.69897,,0.014437,[0.01-0.019] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,16p13.13,16,11815695,NR,BCAR4,,,ENSG00000262117,,,rs8063706-T,rs8063706,0,8063706,intergenic_variant,0,0.272828,4.00E-09,8.397940009,,0.012968,[0.0087-0.0173] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,16p12.3,16,20381010,NR,PDILT,,,ENSG00000169340,,,rs77924615-A,rs77924615,0,77924615,intron_variant,0,0.197773,1.00E-10,10,,0.015792,[0.011-0.021] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,16p11.2,16,30918912,NR,CTF2P - FBXL19-AS1,ENSG00000230447,ENSG00000260852,,8704,407,rs71383766-T,rs71383766,0,71383766,intergenic_variant,1,0.419574,1.00E-09,9,,0.012569,[0.0085-0.0166] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,16q13,16,56961324,NR,HERPUD1 - CETP,ENSG00000051108,ENSG00000087237,,16460,599,rs1800775-A,rs1800775,0,1800775,intergenic_variant,1,0.486317,2.00E-17,16.69897,,0.016619,[0.013-0.02] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,17q24.2,17,68468405,NR,WIPI1 - PRKAR1A,ENSG00000070540,ENSG00000108946,,10892,43375,rs2909218-T,rs2909218,0,2909218,regulatory_region_variant,1,0.792744,3.00E-12,11.52287875,,0.016894,[0.012-0.022] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,18q12.1,18,31339831,NR,"DSG1-AS1, DSG1",,,"ENSG00000266729, ENSG00000134760",,,rs8091117-A,rs8091117,0,8091117,missense_variant,0,0.065396,1.00E-09,9,,0.024071,[0.016-0.032] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,18q21.33,18,63698973,NR,SERPINB11,,,ENSG00000206072,,,rs2037511-A,rs2037511,0,2037511,intergenic_variant,0,0.165391,9.00E-10,9.045757491,,0.016025,[0.011-0.021] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,19p13.3,19,4338176,NR,STAP2,,,ENSG00000178078,,,rs57631352-G,rs57631352,0,57631352,intron_variant,0,0.297255,1.00E-09,9,,0.012866,[0.0087-0.017] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,19p13.2,19,11082239,NR,SMARCA4 - LDLR,ENSG00000127616,ENSG00000130164,,2813,7179,rs73015021-G,rs73015021,0,73015021,intergenic_variant,1,0.121031,1.00E-14,14,,0.023034,[0.017-0.029] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,19p13.2,19,11868349,NR,ZNF439,,,ENSG00000171291,,,rs10500209-C,rs10500209,0,10500209,stop_gained,0,0.282129,6.00E-10,9.22184875,,0.013417,[0.0092-0.0177] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,19p13.11,19,19268740,NR,TM6SF2,,,ENSG00000213996,,,rs58542926-T,rs58542926,0,58542926,stop_gained,0,0.075847,9.00E-19,18.04575749,,0.032488,[0.025-0.04] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,19q13.12,19,35851310,NR,NPHS1,,,ENSG00000161270,,,rs3814995-T,rs3814995,0,3814995,stop_gained,0,0.31224,3.00E-12,11.52287875,,0.014733,[0.011-0.019] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,71887129,NR,GC - NPFFR2,ENSG00000145321,ENSG00000056291,,83088,144773,rs184291421-C,rs184291421,0,184291421,intergenic_variant,1,0.994155,1.00E-28,28,,0.170103,[0.14-0.2] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,71917668,NR,GC - NPFFR2,ENSG00000145321,ENSG00000056291,,113627,114234,rs188838036-A,rs188838036,0,188838036,intergenic_variant,1,0.995469,3.00E-24,23.52287875,,0.17944,[0.14-0.21] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,71920026,NR,GC - NPFFR2,ENSG00000145321,ENSG00000056291,,115985,111876,rs186881826-A,rs186881826,0,186881826,intergenic_variant,1,0.223069,4.00E-77,76.39794001,,0.045907,[0.041-0.051] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,71955252,NR,GC - NPFFR2,ENSG00000145321,ENSG00000056291,,151211,76650,rs186441690-G,rs186441690,0,186441690,intergenic_variant,1,0.997189,2.00E-18,17.69897,,0.26711,[0.21-0.33] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,71998849,NR,GC - NPFFR2,ENSG00000145321,ENSG00000056291,,194808,33053,rs546541682-T,rs546541682,0,546541682,intergenic_variant,1,0.994255,2.00E-18,17.69897,,0.156566,[0.12-0.19] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,72054368,NR,NPFFR2,,,ENSG00000056291,,,rs143106299-T,rs143106299,0,143106299,intron_variant,0,0.005747,2.00E-28,27.69897,,0.169038,[0.14-0.2] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q13.3,4,72640109,NR,ADAMTS3 - HNRNPA1P67,ENSG00000156140,ENSG00000270665,,70888,167158,rs192785674-A,rs192785674,0,192785674,intergenic_variant,1,0.996588,8.00E-11,10.09691001,,0.168744,[0.12-0.22] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q22.1,4,87366211,NR,HSD17B11,,,ENSG00000198189,,,rs58073039-G,rs58073039,0,58073039,intron_variant,0,0.298368,2.00E-11,10.69897,,0.014119,[0.01-0.0183] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q23,4,99280138,NR,ADH1A,,,ENSG00000187758,,,rs28364331-G,rs28364331,0,28364331,splice_donor_region_variant,0,0.018845,1.00E-17,17,,0.061386,[0.047-0.075] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,4q23,4,99318162,NR,ADH1B,,,ENSG00000196616,,,rs1229984-C,rs1229984,0,1229984,missense_variant,0,0.973099,5.00E-13,12.30103,,0.046854,[0.034-0.06] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,5q23.1,5,119316879,NR,TNFAIP8,,,ENSG00000145779,,,rs7718395-G,rs7718395,0,7718395,intron_variant,0,0.319522,2.00E-09,8.698970004,,0.012632,[0.0085-0.0167] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,6q23.2,6,131613846,NR,MED23,,,ENSG00000112282,,,rs3822868-G,rs3822868,0,3822868,intron_variant,0,0.835029,1.00E-15,15,,0.021918,[0.017-0.027] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,7p15.3,7,21532314,NR,SP4 - DNAH11,ENSG00000105866,ENSG00000105877,,17492,10725,rs111529171-C,rs111529171,0,111529171,intergenic_variant,1,0.216376,6.00E-11,10.22184875,,0.015488,[0.011-0.02] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,7q22.3,7,104973344,NR,"KMT2E-AS1, KMT2E",,,"ENSG00000239569, ENSG00000005483",,,rs1011468-A,rs1011468,0,1011468,intergenic_variant,0,0.475748,1.00E-12,12,,0.013795,[0.01-0.0176] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,7q22.3,7,107477002,NR,COG5,,,ENSG00000164597,,,rs1858889-C,rs1858889,0,1858889,intron_variant,0,0.50084,4.00E-11,10.39794001,,0.012836,[0.009-0.0166] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
